CIFName,Octahedral Number,InPlaneDistortion,Out_Plane_Distortion,Tilt_Angle_Distortion,Bond_Distortion
CONTCAR_SCANrVV10,0,4.619521833820819,2.1344340694895436e-07,4.619521833820855,0.0009129882371305402
CONTCAR_SCANrVV10,1,4.619519722988763,2.1344340694895436e-07,4.619519722988802,0.0009129882671382171
CONTCAR_SCANrVV10,2,4.619519019378124,2.1344340694895436e-07,4.619519019378129,0.0009129902034302878
CONTCAR_SCANrVV10,3,4.61951972298883,2.1344340694895436e-07,4.619519722988835,0.00091298617024984
CONTCAR_optB86b,0,7.745795277237768,0.0,7.745795277237775,0.00016695911138448285
CONTCAR_optB86b,1,7.745793178906762,0.0,7.745793178906773,0.00016695914964340032
CONTCAR_optB86b,2,7.745792479463084,0.0,7.745792479463094,0.0001669600612809598
CONTCAR_optB86b,3,7.745793178906771,0.0,7.7457931789067835,0.00016695805365132788
CONTCAR_optB88,0,27.912983899149523,5.152979696276816e-07,27.912983899149523,0.0007501627326348446
CONTCAR_optB88,1,27.912981966116774,3.64370688288318e-07,27.912981966116778,0.0007501633462356497
CONTCAR_optB88,2,27.912981321772534,3.140615945085301e-07,27.912981321772545,0.000750163940404778
CONTCAR_optB88,3,27.91298196611678,2.8890704761863617e-07,27.91298196611679,0.0007501615310153339
CONTCAR_optPBE,0,12.600419270971308,4.268868138979087e-07,12.600419270971308,0.006116454696363462
CONTCAR_optPBE,1,12.60041725886035,3.2016511042343154e-07,12.600417258860354,0.006116454357633491
CONTCAR_optPBE,2,12.600416588156705,2.845912092652725e-07,12.600416588156705,0.0061164604884615115
CONTCAR_optPBE,3,12.600417258860357,3.7352596216067013e-07,12.600417258860357,0.006116449161242359
CONTCAR_revPBEDion,0,8.371314647939101,0.0,8.371314647939116,0.007882941244830723
CONTCAR_revPBEDion,1,8.371312590642834,1.0672170347447718e-07,8.371312590642844,0.007882941112915185
CONTCAR_revPBEDion,2,8.371311904877404,2.1344340694895436e-07,8.371311904877414,0.007882947640729481
CONTCAR_revPBEDion,3,8.37131259064281,1.6008255521171577e-07,8.371312590642823,0.00788293522898043
CONTCAR_revvdWDF2,0,23.451423028620923,0.0,23.45142302862091,0.001861374006988018
CONTCAR_revvdWDF2,1,23.451421094706753,0.0,23.45142109470675,0.0018613741124329892
CONTCAR_revvdWDF2,2,23.451420450068685,0.0,23.451420450068685,0.0018613771617696873
CONTCAR_revvdWDF2,3,23.45142109470675,0.0,23.45142109470675,0.0018613708782833321
CONTCAR_vdWDF2,0,13.638690634579298,0.0,13.638690634579305,0.0037577623280235038
CONTCAR_vdWDF2,1,13.638688627917844,1.0672170347447718e-07,13.638688627917833,0.003757762118195544
CONTCAR_vdWDF2,2,13.638687959030674,1.4229560463263624e-07,13.638687959030674,0.0037577669007269393
CONTCAR_vdWDF2,3,13.638688627917837,1.6008255521171577e-07,13.638688627917833,0.0037577578686086863
