CIFName,MaxInPlane,MinInPlane,MaxOutPlane,MinOutPlane,MaxTilt,MinTilt,MaxOctAngleVariance,MinOctAngleVariance
Br_0_00000000.vasp,31.11371750836713,30.068595027830128,1.4419336228682482,0.35237766713237306,31.1439464235753,30.07047641217079,95.68749700243029,12.528992223944163
Br_0_00000101.vasp,35.48817825521769,27.829316039424782,6.460398323414154,0.08575378913064924,35.77234465085698,28.464146607226752,95.08937035231749,9.150560367123399
Br_0_00001010.vasp,35.70245886415799,27.490796848441562,6.601321407046896,0.24011882537126894,35.98037665975227,28.213234561331035,98.62649176321173,15.59348829019898
Br_0_00001111.vasp,34.68492380529324,24.664398349731982,1.1601973181705887,0.016389188476864547,34.68477545841165,24.66513608786076,94.76281910971825,10.704925766281391
Br_0_01010000.vasp,35.49323127831579,28.023461975824574,7.628133901898508,0.11128230094377045,35.72041549661927,28.28634326543525,98.73928773575774,15.872947089191923
Br_0_01010101.vasp,32.62225568628173,30.620609207209554,13.552224511746346,0.35640647257110913,33.37189813302979,31.244505627027593,97.80200312030527,22.11615000888543
Br_0_01011010.vasp,33.39449184684389,29.474741670642317,0.5993380275306492,0.045394251462369084,33.39451934637847,29.480314033848657,93.04530412448044,6.217660382881411
Br_0_01011111.vasp,35.13777240541634,27.940341324850323,7.475008516102918,0.43540245247118037,35.36194437899513,28.650288314552313,98.02479847203713,13.290122405986319
Br_0_10100000.vasp,35.549379278024844,28.116737421225707,7.681893564664165,0.241125785462458,35.784030568144374,28.451156515367984,94.86706247524265,9.157596620469407
Br_0_10100101.vasp,33.47659314729907,29.483017787748224,0.6167306298746666,0.05408890151144874,33.47663207186292,29.48891627227829,91.82633349958617,1.3573865608464701
Br_0_10101010.vasp,32.93143722139649,30.77594914931771,13.891970545980541,0.32499986884914733,33.73387643079411,31.5947568217413,98.0313483641667,23.129482280299605
Br_0_10101111.vasp,35.329266093116274,27.923556060523595,7.30525410715498,0.3763686663387489,35.54438760366975,28.707572150933373,95.21836279862006,11.95348837197095
Br_0_11110000.vasp,34.318105940136036,24.71221547603065,1.1034380770624352,0.03438783498444309,34.3178474269088,24.712959843847926,94.75706973312998,10.534546813211893
Br_0_11110101.vasp,35.11382594372628,28.346904940146572,7.648144640836136,0.02342708867718102,35.402504779632864,28.72153953665355,94.88283015962267,11.093154926704088
