Filename,MaxInPlane,MinInPlane,MaxOutPlane,MinOutPlane,MaxTilt,MinTilt
Cl_1_01010000.vasp,48.29428246,17.92737081,15.73742889,0.021620026,48.10501039,18.77570718
Cl_1_01010101.vasp,35.76606529,32.91994394,15.47253457,1.134827952,36.09787327,33.20467372
Cl_1_01011010.vasp,43.4763923,21.83488169,14.31089356,0.721615193,43.48130886,21.87952672
Cl_1_01011111.vasp,47.97986102,18.91335166,16.77696681,1.347491468,47.79458431,19.27015174
Cl_1_10100000.vasp,47.80089744,18.33517409,15.63347779,0.086134024,47.63057346,19.00310145
Cl_1_10100101.vasp,43.68623496,22.07294407,14.1146665,0.448631758,43.68812252,22.09488381
Cl_1_10101010.vasp,35.89918374,32.72766409,15.57038533,0.880845201,36.04840605,33.03787852
Cl_1_10101111.vasp,48.00473062,18.66463896,16.78798881,1.363364111,47.79613366,19.10414069
Cl_1_11110000.vasp,45.96115796,16.15856877,14.58281949,0.115193772,45.96123927,16.16538282
Cl_1_11110101.vasp,48.31669915,18.30256467,16.63952188,1.142166118,48.05910342,19.1568313
Cl_1_11111010.vasp,48.26149714,18.48096049,16.63828222,1.188875694,48.00884157,19.3096155
Cl_1_11111111.vasp,34.05572702,33.5667145,12.51817506,11.74954589,36.04036446,35.35102119
