CIFName,MaxInPlane,MinInPlane,MaxOutPlane,MinOutPlane,MaxTilt,MinTilt,MaxOctAngleVariance,MinOctAngleVariance
Br_0_00000000.vasp,31.102465677756527,30.05651960613193,1.4361981471408853,0.3498090637460223,31.13246773546217,30.058374548265476,95.68785268262026,12.532026857236753
Br_0_00000101.vasp,35.26231744982016,27.639667899808757,6.5863706914328475,0.09375725253678979,35.53989113661095,28.311702986146884,94.97926837407914,9.307774039529754
Br_0_00001010.vasp,34.7308542920197,27.315719536890384,6.462966272180495,0.18839082393370177,35.02963293427109,27.973150208819106,98.50958491205681,14.986908986503693
Br_0_00001111.vasp,33.869713646235795,24.737897985364413,1.1094849504472108,0.018574712891478384,33.869438092958006,24.738430658215947,94.71155116379272,10.04917512911089
Br_0_01010000.vasp,35.49323127831579,28.023461975824574,7.628133901898508,0.11128230094377045,35.72041549661927,28.28634326543525,98.73928773575774,15.872947089191923
Br_0_01010101.vasp,32.98293048481551,30.83541673147832,14.010490707692298,0.3673580531404639,33.808532286303205,31.305833832550093,97.91803314903059,23.03997855161539
Br_0_01011010.vasp,33.39449184684389,29.474741670642317,0.5993380275306492,0.045394251462369084,33.39451934637847,29.480314033848657,93.04530412448044,6.217660382881411
Br_0_01011111.vasp,35.128377602335746,27.933948218363412,7.481512642880489,0.4272825824786821,35.35286453720332,28.652033804102757,98.02069969175585,13.288569793497805
Br_0_10100000.vasp,34.95059105684166,27.732865182506572,7.533378372864632,0.09478505255947312,35.16288998351385,28.037721201677755,94.7575832455158,8.851992332938385
Br_0_10100101.vasp,33.47659314729907,29.483017787748224,0.6167306298746666,0.05408890151144874,33.47663207186292,29.48891627227829,91.82633349958617,1.3573865608464701
Br_0_10101010.vasp,32.873504363831984,30.774038614535385,13.994810314964354,0.30575278111558646,33.678640875746595,31.53603562262265,98.06244280389903,23.32453110548472
Br_0_10101111.vasp,35.329266093116274,27.923556060523595,7.30525410715498,0.3763686663387489,35.54438760366975,28.707572150933373,95.21836279862006,11.95348837197095
Br_0_11110000.vasp,34.318105940136036,24.71221547603065,1.1034380770624352,0.03438783498444309,34.3178474269088,24.712959843847926,94.75706973312998,10.534546813211893
Br_0_11110101.vasp,34.771039868794844,28.2059417807082,7.799688607347235,0.09620483685134218,35.06187326081991,28.66128189133036,95.03914147759677,10.863979526155184
Br_0_11111010.vasp,35.44033168777213,27.982237561619996,7.375581088778858,0.11690395830106581,35.66676384226997,28.427494762824352,97.59756053108116,12.392690437788438
Br_0_11111111.vasp,30.469039756867204,29.708771077121725,1.0495666300288917,0.07658171933192648,30.485465913594453,29.708861218677242,94.52490759038338,9.218323568160901
Br_1_00000000.vasp,35.490300331056176,32.91142725430606,14.577960827205146,12.317127709728396,38.03043690795286,34.91307344756433,91.62502366031863,2.312276368645824
Br_1_00000101.vasp,46.475303794119355,18.49994835420594,16.232176184420865,2.6321755508146794,46.24980977688094,18.93363874272589,97.66549101304781,26.91282416157402
Br_1_00001010.vasp,46.642877934661755,18.803724855661216,16.17919118112445,2.534379384946817,46.426414952326525,19.211164788052088,96.93012665777663,23.73125327962414
Br_1_00001111.vasp,44.85782384885607,15.613079631848194,14.984433401293785,0.26513304038897445,44.857124608557626,15.61129745575468,98.1029156718274,42.78392924647924
Br_1_01010000.vasp,46.665587513448685,17.95634117798832,16.575308829022987,0.36738278141885417,46.507615054156446,18.90817837581011,97.19230908179844,24.0596351414006
Br_1_01010101.vasp,36.37645024673844,33.837787101584695,16.01953294151133,0.31255738976184944,36.41059110653447,34.22541080083849,96.05402453228162,13.63289172529423
Br_1_01011010.vasp,42.697037291271755,21.02544798433891,15.166168842728297,0.0793649761263282,42.69709828861602,21.066405162268637,97.21330884478516,20.45051403209966
