CIFName,MaxInPlane,MinInPlane,MaxOutPlane,MinOutPlane,MaxTilt,MinTilt,MaxOctAngleVariance,MinOctAngleVariance
pbe_1_00001111.vasp,40.00791176085903,20.01036099115953,11.182099459458783,0.10160542027784913,40.00802101096676,20.010713668495924,95.6471788945631,22.443743722465307
pbe_1_01010000.vasp,40.25175858822499,22.55045705280375,12.853806398525222,4.700811279084689,40.50468240732329,23.550300743222806,95.17204392943901,11.419725366169114
pbe_1_01010101.vasp,34.03103136188699,32.23816364164327,13.589855461325499,1.0736208606081732,34.075728214176905,32.69060434002813,95.46451866440981,8.818884176882076
pbe_1_01011010.vasp,38.32665190486486,25.084783193032735,12.632155842438408,0.1641794539915793,38.32967471386965,25.085286922658014,94.30703574858417,7.0777069058967905
pbe_1_01011111.vasp,39.740376526231955,24.66376603791923,13.349178971171682,5.20484860887629,40.15026312578988,25.1745104746644,96.1020663748774,13.20534839215501
pbe_1_10100000.vasp,40.5623376109572,22.543626976599853,12.647921123797886,4.584700055466186,40.79436804585691,23.456911304404656,95.55898067805893,11.93960589920669
pbe_1_10100101.vasp,36.49661516987345,26.030784923047264,11.946902571741532,0.06636252025387535,36.49688842542125,26.030863838182228,93.1278417950942,5.263747278705156
pbe_1_10101010.vasp,34.25497426118335,32.31264461021658,13.679874120882147,0.8311768578024328,34.45180149887088,32.83711693860664,94.96019934327609,8.365027764479505
pbe_1_10101111.vasp,39.91156749898414,24.535881754765086,13.430482165902788,5.262751255356903,40.27988833692291,25.060891347528155,93.7980742320737,7.054601386480238
pbe_1_11110000.vasp,41.34698652064293,19.509397412534213,11.598093735768458,0.027980116650070386,41.346819506219276,19.5089940766739,96.20347191332549,23.465539238952545
pbe_1_11110101.vasp,39.51892079086812,24.320104703528614,13.42226598003586,4.602235991182397,39.84556221272646,25.283960277873234,93.56079214341206,6.640431738647609
pbe_1_11111010.vasp,39.70669236547033,24.31554645232484,13.573930598449323,4.906452608475348,40.04949069391333,25.19345129423678,96.06344982956462,12.92662825497549
pbe_1_11111111.vasp,32.254376948982156,31.524552060896326,11.177972000772655,11.106887975684401,33.95059889892474,33.24469558854605,92.73243755458014,2.803936151608997
pbe_rVV10L_0_00000000.vasp,32.29711810271982,30.968424845285284,0.7784557148308693,0.2714593016642084,32.305542426239725,30.969502757295743,93.77165530194152,5.219941333767838
