CIFName,MaxInPlane,MinInPlane,MaxOutPlane,MinOutPlane,MaxTilt,MinTilt,MaxOctAngleVariance,MinOctAngleVariance
CONTCAR_DFTD3BJ-PBE.vasp,33.46090002294267,23.663802298232838,1.207418250714909e-06,0.0,33.46090002294264,23.663802298232838,188.43264944175223,69.17614151103463
CONTCAR_DFTD3BJ-PBEsol.vasp,36.31226538355091,26.449470332024276,1.207418250714909e-06,0.0,36.31226538355091,26.449470332024305,228.88536902737712,66.39319534966097
CONTCAR_DFTD3BJ-RPBE.vasp,35.78781841579533,26.282848284681563,1.207418250714909e-06,0.0,35.78781841579536,26.28284828468159,228.68998719758258,67.3322971322965
CONTCAR_DFTD3BJ-revPBE.vasp,35.743500985542084,25.660126753920963,1.207418250714909e-06,0.0,35.743500985542084,25.660126753920963,227.16341904918,66.90500036709335
CONTCAR_TSEwald.vasp,14.530453345795053,3.867266951644382,8.537736277958174e-07,0.0,14.530453345795081,3.867266951644382,106.45575192157617,67.22560006737004
CONTCAR_TSHirschfeldEwald.vasp,12.35703921592443,6.780314625016928,1.4787793531922944e-06,0.0,12.357039215924459,6.780314625016985,106.74056861153801,57.19730030818644
CONTCAR_TSHirschfeldNoEwald.vasp,13.67923656224977,7.828268329377352,8.537736277958174e-07,0.0,13.67923656224977,7.82826832937738,108.34538043195332,62.359930480974576
CONTCAR_TSNoEwald.vasp,14.26890696002036,3.963236730226555,8.537736277958174e-07,0.0,14.26890696002036,3.9632367302266402,106.36966260572653,66.92067311635289
CONTCAR_dDsC-PBE.vasp,24.235935333974936,12.405516348955928,8.537736277958174e-07,0,24.235935333974936,12.405516348955956,115.58057533444997,78.93912139990036
CONTCAR_dDsC-revPBE.vasp,12.408671521561416,2.866942261136103,8.537736277958174e-07,0.0,12.408671521561445,2.866942261135989,105.06646952241971,66.23665139506691
